"","Title","Opening.Weekend","WE1.to.WE2.Drop","Actual.Final","Actual.Legs","Predicted.Legs","Lower.Legs","Upper.Legs","Predicted.Final","Lower.Final","Upper.Final"
"1","The Little Mermaid",95578040,0.57,NA,NA,2.80535039772475,2.66551625419205,2.94518454125744,268.129892527752,254.764819163818,281.494965891685
"2","Across the Spiderverse",120663589,0.54,NA,NA,2.95733973248011,2.82385580676279,3.09082365819744,356.84322601335,340.736576462488,372.949875564212
"3","Guardians 3",118414021,0.48,NA,NA,3.26131840199084,3.12318718082946,3.39944962315223,386.18582574103,369.82915241767,402.542499064391
"4","The Flash",55043679,0.72,NA,NA,2.04540372394792,1.81758931272716,2.27321813516867,112.586546006394,100.046802683584,125.126289329203
"5","Dead Reckoning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Dial of Destiny",60368101,0.56,NA,NA,2.85601350930987,2.71890140729656,2.99312561132318,172.412111987383,164.134914764721,180.689309210044
"7","Elemental",29602429,0.38,NA,NA,3.76794951784206,3.58030806621511,3.95559096946902,111.540458077504,105.98581532826,117.095100826748
"8","Fast X",67017410,0.66,NA,NA,2.34938239345865,2.16437551716733,2.53438926974997,157.4495231092,145.050841427965,169.848204790434
"9","Oppenheimer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Barbie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Rise of the Beasts",61045464,0.66,NA,NA,2.34938239345865,2.16437551716733,2.53438926974997,143.419138322114,132.12530771572,154.712968928508
"12","Super Mario Bros",146361865,0.37,NA,NA,3.81861262942719,3.62422523049308,4.01300002836129,558.899266155517,530.448363915022,587.350168396012
"13","Qaunumania",106109650,0.7,NA,NA,2.14672994711816,1.93387431283593,2.3595855814004,227.788763333227,205.202726479011,250.374800187443
"14","John Wick",73817950,0.62,NA,NA,2.55203483979914,2.39093665571647,2.7131330238818,188.385980202551,176.494042504846,200.277917900256
"15","Creed III",58370007,0.53,NA,NA,3.00800284406523,2.87537536761211,3.14063032051836,175.577147064108,167.835680335147,183.318613793069
"16","Teenage Kraken",5500990,0.48,NA,NA,3.26131840199084,3.12318718082946,3.39944962315223,17.9404799161676,17.180621449871,18.7003383824642
