Date,Day_Num,KY_Cum_Cases,KY_Cum_Deaths,KY_Cum_Recovered
2020-03-06,0,1,,
2020-03-07,1,1,,
2020-03-08,2,3,,
2020-03-09,3,6,,
2020-03-10,4,8,,
2020-03-11,5,8,,
2020-03-12,6,11,,
2020-03-13,7,14,,
2020-03-14,8,16,,
2020-03-15,9,20,,
2020-03-16,10,22,,
2020-03-17,11,26,,
2020-03-18,12,35,,
2020-03-19,13,40,,
2020-03-20,14,48,,
2020-03-21,15,54,,
2020-03-22,16,99,,
2020-03-23,17,124,,
2020-03-24,18,157,,
2020-03-25,19,198,,
2020-03-26,20,248,,
2020-03-27,21,302,,
2020-03-28,22,394,,
2020-03-29,23,439,,
2020-03-30,24,480,,
2020-03-31,25,591,,
2020-04-01,26,680,,
2020-04-02,27,770,,
2020-04-03,28,831,,
2020-04-04,29,917,,
2020-04-05,30,955,,
2020-04-06,31,1008,,
2020-04-07,32,1149,,
2020-04-08,33,1346,,
2020-04-09,34,1452,,
2020-04-10,35,1693,,
2020-04-11,36,1840,,
2020-04-12,37,1963,,
2020-04-13,38,2048,,
2020-04-14,39,2210,,
2020-04-15,40,2291,,
2020-04-16,41,2429,,
2020-04-17,42,2522,,
2020-04-18,43,2707,,
2020-04-19,44,2960,,
2020-04-20,45,3050,,
2020-04-21,46,3192,,
2020-04-22,47,3373,,
2020-04-23,48,3481,,
2020-04-24,49,3779,,
2020-04-25,50,3905,205,1501
2020-04-26,51,4074,208,1511
2020-04-27,52,4146,213,1521
2020-04-28,53,4375,225,1617
2020-04-29,54,4539,234,1668
2020-04-30,55,4708,240,1675
2020-05-01,56,4879,248,1752
2020-05-02,57,5005,251,1822
2020-05-03,58,5130,253,1892
2020-05-04,59,5245,260,1921
2020-05-05,60,5822,275,2058
2020-05-06,61,5934,283,2125
2020-05-07,62,6128,294,2177
2020-05-08,63,6288,298,2266
2020-05-09,64,6440,304,2308
2020-05-10,65,6576,307,2322
2020-05-11,66,6677,311,2335
2020-05-12,67,6853,321,2546
2020-05-13,68,7080,326,2649
2020-05-14,69,7225,328,2712
2020-05-15,70,7444,332,2739
2020-05-16,71,7688,334,2768
2020-05-17,72,7798,337,2777
2020-05-18,73,7935,346,2785
2020-05-19,74,8069,366,2826
2020-05-20,75,8167,376,2919
2020-05-21,76,8286,386,3008
2020-05-22,77,8426,391,3069
2020-05-23,78,8571,391,3102
2020-05-24,79,8698,392,3106
2020-05-25,80,8824,393,3111
2020-05-26,81,8951,394,3115
2020-05-27,82,9077,400,3124
2020-05-28,83,9184,409,3181
2020-05-29,84,9464,418,3231
2020-05-30,85,9704,431,3231
2020-05-31,86,9875,435,3232
2020-06-01,87,10046,439,3232
2020-06-02,88,10185,442,3275
2020-06-03,89,10410,450,3283
2020-06-04,90,10705,458,3303
2020-06-05,91,10977,466,3316
2020-06-06,92,11287,470,3344
2020-06-07,93,11356,471,3350
2020-06-08,94,11476,472,3359
2020-06-09,95,11708,477,3365
2020-06-10,96,11883,484,3375
2020-06-11,97,11945,494,3379
2020-06-12,98,12166,497,3390
2020-06-13,99,12445,499,3409
2020-06-14,100,12529,500,3410
2020-06-15,101,12647,505,3416
2020-06-16,102,12829,512,3431
2020-06-17,103,12995,518,3444
2020-06-18,104,13197,520,3506
2020-06-19,105,13454,522,3516
2020-06-20,106,13630,524,3530
2020-06-21,107,13750,526,3534
2020-06-22,108,13839,526,3534
2020-06-23,109,14141,537,3591
2020-06-24,110,14363,538,3706
2020-06-25,111,14617,546,3719
2020-06-26,112,14859,553,3730
2020-06-27,113,15167,554,3730
2020-06-28,114,15232,558,3735
2020-06-29,115,15347,560,3939
2020-06-30,116,15642,565,3990
2020-07-01,117,15842,572,4052
2020-07-02,118,16079,581,4726
2020-07-03,119,16376,585,4747
2020-07-04,120,16627,585,4763
2020-07-05,121,16907,585,4774
2020-07-06,122,17152,593,4785
2020-07-07,123,17519,602,4841
2020-07-08,124,17919,608,4912
2020-07-09,125,18245,612,4939
2020-07-10,126,18670,620,5258
2020-07-11,127,19121,622,5322
2020-07-12,128,19389,625,5333
2020-07-13,129,19653,629,5344
2020-07-14,130,20224,635,5389
2020-07-15,131,20677,645,5475
2020-07-16,132,21083,650,5500
2020-07-17,133,21605,658,6772
2020-07-18,134,22184,667,6824
2020-07-19,135,23161,670,6874
2020-07-20,136,23414,671,6876
2020-07-21,137,24060,674,6927
2020-07-22,138,24540,677,7000
2020-07-23,139,25147,684,7046
2020-07-24,140,25931,691,7396
2020-07-25,141,26764,696,7421
2020-07-26,142,27079,700,7464
2020-07-27,143,27601,709,7466
2020-07-28,144,28126,719,7470
2020-07-29,145,28727,724,7495
2020-07-30,146,29386,731,7495
2020-07-31,147,30151,735,7481
2020-08-01,148,30723,740,8135
2020-08-02,149,31185,742,8316
2020-08-03,150,31508,744,8335
2020-08-04,151,32197,751,8406
2020-08-05,152,32741,752,8467
2020-08-06,153,33254,760,8523
2020-08-07,154,33796,764,8523
2020-08-08,155,34578,772,8674
2020-08-09,156,34982,773,8721
2020-08-10,157,35254,775,8738
2020-08-11,158,35793,783,8819
2020-08-12,159,36945,790,8893
2020-08-13,160,37686,796,8965
2020-08-14,161,38298,804,9021
2020-08-15,162,38930,810,9091
2020-08-16,163,39315,813,9122
2020-08-17,164,39691,818,9158
2020-08-18,165,40299,830,9233
2020-08-19,166,40926,842,9331
2020-08-20,167,41626,856,9388
2020-08-21,168,42265,864,9448
2020-08-22,169,43066,872,9502
2020-08-23,170,43529,881,9524
2020-08-24,171,43899,885,9544
2020-08-25,172,44568,895,9594
2020-08-26,173,45230,902,9691
2020-08-27,174,45978,910,9731
2020-08-28,175,46757,918,10266
2020-08-29,176,47577,921,10328
2020-08-30,177,48032,930,10355
2020-08-31,178,48396,933,10375
2020-09-01,179,49185,948,10417
2020-09-02,180,49991,966,10463
2020-09-03,181,50885,976,10547
2020-09-04,182,51677,987,10547
2020-09-05,183,52464,993,10613
2020-09-06,184,52774,996,10628
2020-09-07,185,53064,996,10648
2020-09-08,186,53319,997,10665
2020-09-09,187,53977,1013,10725
2020-09-10,188,54772,1035,10791
2020-09-11,189,55704,1044,10822
2020-09-12,190,56415,1057,10872
2020-09-13,191,56945,1060,10905
2020-09-14,192,57282,1065,10918
2020-09-15,193,58000,1074,10962
2020-09-16,194,58764,1082,11043
2020-09-17,195,59370,1093,11109
2020-09-18,196,60128,1101,11168
2020-09-19,197,61106,1108,11237
2020-09-20,198,61542,1111,11259
2020-09-21,199,61917,1112,11283
2020-09-22,200,62731,1119,11361
2020-09-23,201,63517,1124,11480
2020-09-24,202,64158,1137,11570
2020-09-25,203,65066,1149,11677
2020-09-26,204,66036,1154,11750
2020-09-27,205,66491,1157,11771
2020-09-28,206,66939,1162,11787
2020-09-29,207,67856,1170,11792
2020-09-30,208,68840,1174,11840
2020-10-01,209,69728,1191,11970
2020-10-02,210,70727,1197,12041
2020-10-03,211,72001,1205,12121
2020-10-04,212,72617,1209,12178
2020-10-05,213,73158,1214,12445
2020-10-06,214,74194,1218,12751
2020-10-07,215,76587,1223,12800
2020-10-08,216,77455,1234,13113
2020-10-09,217,78456,1242,13417
2020-10-10,218,79445,1249,13539
2020-10-11,219,80292,1252,13573
2020-10-12,220,80930,1253,13615
2020-10-13,221,81691,1269,13986
2020-10-14,222,83013,1276,16756
2020-10-15,223,84195,1296,16928
2020-10-16,224,85506,1300,17018
2020-10-17,225,86797,1312,17155
2020-10-18,226,87607,1317,17196
2020-10-19,227,88247,1326,17229
2020-10-20,228,89544,1342,17402
2020-10-21,229,90996,1363,17534
2020-10-22,230,92299,1380,17627
2020-10-23,231,93748,1396,17722
2020-10-24,232,95480,1404,17723
2020-10-25,233,96942,1407,17828
2020-10-26,234,97866,1410,17881
2020-10-27,235,99637,1428,18045
2020-10-28,236,101494,1442,18165
2020-10-29,237,103305,1461,18277
2020-10-30,238,105242,1476,18407
2020-10-31,239,107219,1485,18468
2020-11-01,240,108642,1489,18468
2020-11-02,241,109670,1492,18516
2020-11-03,242,111379,1503,19043
2020-11-04,243,113009,1514,19667
2020-11-05,244,115277,1534,20304
2020-11-06,245,117505,1544,20926
2020-11-07,246,119661,1561,21513
2020-11-08,247,120838,1565,22005
2020-11-09,248,122567,1576,22942
2020-11-10,249,124646,1590,23165
2020-11-11,250,127344,1604,23558
2020-11-12,251,129680,1622,23629
2020-11-13,252,132844,1647,23872
2020-11-14,253,136137,1658,24329
2020-11-15,254,137586,1661,24410
2020-11-16,255,139097,1664,24568
2020-11-17,256,142008,1697,24760
2020-11-18,257,144753,1712,25058
2020-11-19,258,148390,1742,25437
2020-11-20,259,152206,1762,25728
2020-11-21,260,155908,1783,26156
2020-11-22,261,158100,1787,26442
2020-11-23,262,160232,1792,26611
2020-11-24,263,162838,1809,22951
2020-11-25,264,166139,1835,27349
2020-11-26,265,170009,1867,27862
2020-11-27,266,171755,1871,27866
2020-11-28,267,174182,1885,27998
2020-11-29,268,176925,1896,
