Probabilty of Point,Proportion of Points,Proportion of Games,Proportion of Sets,Proportion of Matches,Proportion of Tounr.,0 Match Tourn.,1 Match Tourn.,2 Match Tourn.,3 Match Tourn.,4 Match Tourn.,5 Match Tourn.,6 Match Tourn.,7 Match Tourn.
0.5,0.499909608,0.499881449,0.499500727,0.499384547,0.00764,0.50168,0.24754,0.1257,0.06302,0.0314,0.01528,0.00774,0.00764
0.51,0.509912063,0.524886407,0.570739692,0.630452517,0.03962,0.36828,0.23558,0.14502,0.09414,0.05752,0.03608,0.02376,0.03962
0.52,0.519926648,0.549665674,0.639745122,0.748832823,0.1317,0.24906,0.18906,0.14186,0.10718,0.07704,0.06022,0.04388,0.1317
0.53,0.529965391,0.574432139,0.703984249,0.841800509,0.29948,0.15988,0.13286,0.11096,0.09276,0.079,0.06822,0.05684,0.29948
0.54,0.539974247,0.599039578,0.763536444,0.910955442,0.52078,0.08936,0.08008,0.07484,0.06694,0.0628,0.05586,0.04934,0.52078
0.55,0.549987547,0.623141409,0.815253485,0.953245269,0.71536,0.04698,0.04646,0.04148,0.03938,0.0385,0.03682,0.03502,0.71536
0.56,0.560135647,0.647148676,0.859625223,0.977824771,0.85466,0.02152,0.02196,0.0212,0.0199,0.02136,0.0197,0.0197,0.85466
0.57,0.570077361,0.670134807,0.895490239,0.990334328,0.93428,0.00938,0.00966,0.0098,0.0094,0.00968,0.00934,0.00846,0.93428
0.58,0.580004926,0.692602315,0.924120793,0.996130427,0.97322,0.00344,0.00416,0.0037,0.00404,0.00368,0.00362,0.00414,0.97322
0.59,0.589910395,0.714124833,0.946440691,0.998527559,0.98974,0.00152,0.00152,0.00164,0.00164,0.00136,0.00106,0.00152,0.98974
0.6,0.60006354,0.735777688,0.963455406,0.9995823,0.99708,0.00042,0.00046,0.00048,0.00046,0.00038,0.00046,0.00026,0.99708
0.61,0.609933642,0.756083545,0.9757251,0.999851378,0.99896,0.00006,0.00002,0.0002,0.00016,0.00026,0.00014,0.0002,0.99896
0.62,0.620063444,0.775998374,0.98400917,0.999962853,0.99974,0.00004,0.00002,0.00002,0.00008,0.00006,0,0.00004,0.99974
0.63,0.62997233,0.794623918,0.989998605,0.999988571,0.99992,0.00004,0,0,0.00002,0,0.00002,0,0.99992
0.64,0.639888025,0.812477017,0.993972739,1,1,0,0,0,0,0,0,0,1
0.65,0.649889344,0.82954034,0.996290951,1,1,0,0,0,0,0,0,0,1
0.66,0.660083318,0.845890293,0.997869311,1,1,0,0,0,0,0,0,0,1
0.67,0.670080299,0.861037877,0.998839444,1,1,0,0,0,0,0,0,0,1
0.68,0.680020562,0.875181978,0.999393701,1,1,0,0,0,0,0,0,0,1
0.69,0.690002691,0.888398402,0.999642985,1,1,0,0,0,0,0,0,0,1
0.7,0.699925927,0.900624074,0.999820984,1,1,0,0,0,0,0,0,0,1
0.71,0.709948615,0.912196666,0.999928577,1,1,0,0,0,0,0,0,0,1
0.72,0.719917275,0.922667478,0.99996762,1,1,0,0,0,0,0,0,0,1
0.73,0.72995822,0.932365012,0.99998,1,1,0,0,0,0,0,0,0,1
0.74,0.740052942,0.941185012,0.999990476,1,1,0,0,0,0,0,0,0,1
0.75,0.749970756,0.949269365,0.999998095,1,1,0,0,0,0,0,0,0,1
0.76,0.759957805,0.956379009,0.999997143,1,1,0,0,0,0,0,0,0,1
0.77,0.770008713,0.962886911,1,1,1,0,0,0,0,0,0,0,1
0.78,0.779957249,0.968705909,1,1,1,0,0,0,0,0,0,0,1
0.79,0.790087969,0.973730302,1,1,1,0,0,0,0,0,0,0,1
0.8,0.799994834,0.97826011,1,1,1,0,0,0,0,0,0,0,1
0.81,0.810000714,0.982147214,1,1,1,0,0,0,0,0,0,0,1
0.82,0.819999844,0.985445748,1,1,1,0,0,0,0,0,0,0,1
0.83,0.830122623,0.988424451,1,1,1,0,0,0,0,0,0,0,1
0.84,0.840043616,0.990872803,1,1,1,0,0,0,0,0,0,0,1
0.85,0.8499049,0.992849905,1,1,1,0,0,0,0,0,0,0,1
0.86,0.859989197,0.99457279,1,1,1,0,0,0,0,0,0,0,1
0.87,0.869970581,0.995899896,1,1,1,0,0,0,0,0,0,0,1
0.88,0.880000285,0.997005502,1,1,1,0,0,0,0,0,0,0,1
0.89,0.890114927,0.997899817,1,1,1,0,0,0,0,0,0,0,1
0.9,0.89999467,0.998538805,1,1,1,0,0,0,0,0,0,0,1
0.91,0.909939511,0.999049476,1,1,1,0,0,0,0,0,0,0,1
0.92,0.920084942,0.999416848,1,1,1,0,0,0,0,0,0,0,1
0.93,0.930075949,0.999647585,1,1,1,0,0,0,0,0,0,0,1
0.94,0.940095175,0.999810829,1,1,1,0,0,0,0,0,0,0,1
0.95,0.950033159,0.999916515,1,1,1,0,0,0,0,0,0,0,1
0.96,0.959959073,0.999961589,1,1,1,0,0,0,0,0,0,0,1
0.97,0.969997249,0.999986826,1,1,1,0,0,0,0,0,0,0,1
0.98,0.980029097,0.999997619,1,1,1,0,0,0,0,0,0,0,1
0.99,0.989982186,1,1,1,1,0,0,0,0,0,0,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,1
